Pill_Name,Generic_Name,Uses,Side_Effects,Manufacturer,Dosage (mg),Prescription_Required
"Hematab1-450","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","BlueLake Pharma","500","Yes"
"Irozol1-451","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","NovaHealth Labs","250","Yes"
"Junofine1-452","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","MediCore Therapeutics","100","Yes"
"Karomide1-453","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Pillara Biotech","250","Yes"
"Lumatril1-454","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","ClearPath Pharmaceuticals","500","Yes"
"Medivex1-455","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","EverWell Labs","150","Yes"
"Nexaril1-456","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Suncrest Pharma","500","Yes"
"Orbinac1-457","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","GreenLeaf Bio","250","Yes"
"Pillomir1-458","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","PrimeCure Inc","800","Yes"
"Quinnex1-459","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Horizon Health","650","No"
"Rivorova1-460","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","VitalAxis Labs","200","No"
"Sanodex1-461","naproxen","Pain and inflammation","indigestion; headache; dizziness","Orion Medica","250","No"
"Teralon1-462","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Lumen Pharma","325","No"
"Urozep1-463","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","CedarBridge Labs","50","No"
"Vitamox1-464","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Silverline Pharmaceuticals","10","No"
"Wellocillin1-465","loratadine","Seasonal allergies","headache; dry mouth; fatigue","BlueLake Pharma","10","No"
"Xylostat1-466","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","NovaHealth Labs","120","No"
"Yarapril1-467","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","MediCore Therapeutics","25","No"
"Zenopine1-468","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Pillara Biotech","1000","Yes"
"Acusone1-469","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","ClearPath Pharmaceuticals","2.5","Yes"
"Biotab1-470","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","EverWell Labs","50","Yes"
"Curazol1-471","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Suncrest Pharma","45","Yes"
"Durafine1-472","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","GreenLeaf Bio","5","Yes"
"Evomide1-473","enalapril","High blood pressure","cough; dizziness; high potassium","PrimeCure Inc","2.5","Yes"
"Flextril1-474","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Horizon Health","10","Yes"
"Genovex1-475","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","VitalAxis Labs","25","Yes"
"Hemaril1-476","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Orion Medica","50","Yes"
"Ironac1-477","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Lumen Pharma","875","Yes"
"Junomir1-478","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","CedarBridge Labs","500","Yes"
"Karonex1-479","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Silverline Pharmaceuticals","500","Yes"
"Lumarova1-480","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","BlueLake Pharma","100","Yes"
"Medidex1-481","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","NovaHealth Labs","250","Yes"
"Nexalon1-482","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","MediCore Therapeutics","500","Yes"
"Orbizep1-483","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Pillara Biotech","150","Yes"
"Pillomox1-484","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","ClearPath Pharmaceuticals","500","Yes"
"Quincillin1-485","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","EverWell Labs","250","Yes"
"Rivostat1-486","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Suncrest Pharma","800","Yes"
"Sanopril1-487","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","GreenLeaf Bio","325","No"
"Terapine1-488","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","PrimeCure Inc","400","No"
"Urosone1-489","naproxen","Pain and inflammation","indigestion; headache; dizziness","Horizon Health","500","No"
"Vitatab1-490","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","VitalAxis Labs","325","No"
"Wellozol1-491","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Orion Medica","50","No"
"Xylofine1-492","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Lumen Pharma","10","No"
"Yaramide1-493","loratadine","Seasonal allergies","headache; dry mouth; fatigue","CedarBridge Labs","10","No"
"Zenotril1-494","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Silverline Pharmaceuticals","120","No"
"Acuvex1-495","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","BlueLake Pharma","25","No"
"Bioril1-496","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","NovaHealth Labs","500","Yes"
"Curanac1-497","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","MediCore Therapeutics","5","Yes"
"Duramir1-498","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Pillara Biotech","100","Yes"
"Evonex1-499","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","ClearPath Pharmaceuticals","15","Yes"
"Flexrova1-500","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","EverWell Labs","40","Yes"
"Genodex1-501","enalapril","High blood pressure","cough; dizziness; high potassium","Suncrest Pharma","2.5","Yes"
"Hemalon1-502","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","GreenLeaf Bio","2.5","Yes"
"Irozep1-503","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","PrimeCure Inc","50","Yes"
"Junomox1-504","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Horizon Health","100","Yes"
"Karocillin1-505","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","VitalAxis Labs","250","Yes"
"Lumastat1-506","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Orion Medica","500","Yes"
"Medipril1-507","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Lumen Pharma","750","Yes"
"Nexapine1-508","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","CedarBridge Labs","100","Yes"
"Orbisone1-509","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Silverline Pharmaceuticals","250","Yes"
"Pillotab1-510","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","BlueLake Pharma","500","Yes"
"Quinzol1-511","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","NovaHealth Labs","150","Yes"
"Rivofine1-512","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","MediCore Therapeutics","500","Yes"
"Sanomide1-513","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Pillara Biotech","250","Yes"
"Teratril1-514","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","ClearPath Pharmaceuticals","800","Yes"
"Urovex1-515","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","EverWell Labs","500","No"
"Vitaril1-516","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Suncrest Pharma","600","No"
"Wellonac1-517","naproxen","Pain and inflammation","indigestion; headache; dizziness","GreenLeaf Bio","220","No"
"Xylomir1-518","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","PrimeCure Inc","325","No"
"Yaranex1-519","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Horizon Health","50","No"
"Zenorova1-520","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","VitalAxis Labs","10","No"
"Acudex2-521","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Orion Medica","10","No"
"Biolon2-522","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Lumen Pharma","120","No"
"Curazep2-523","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","CedarBridge Labs","25","No"
"Duramox2-524","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Silverline Pharmaceuticals","850","Yes"
"Evocillin2-525","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","BlueLake Pharma","10","Yes"
"Flexstat2-526","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","NovaHealth Labs","25","Yes"
"Genopril2-527","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","MediCore Therapeutics","30","Yes"
"Hemapine2-528","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Pillara Biotech","10","Yes"
"Irosone2-529","enalapril","High blood pressure","cough; dizziness; high potassium","ClearPath Pharmaceuticals","2.5","Yes"
"Junotab2-530","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","EverWell Labs","5","Yes"
"Karozol2-531","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Suncrest Pharma","100","Yes"
"Lumafine2-532","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","GreenLeaf Bio","25","Yes"
"Medimide2-533","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","PrimeCure Inc","500","Yes"
"Nexatril2-534","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Horizon Health","500","Yes"
"Orbivex2-535","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","VitalAxis Labs","250","Yes"
"Pilloril2-536","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Orion Medica","100","Yes"
"Quinnac2-537","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Lumen Pharma","250","Yes"
"Rivomir2-538","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","CedarBridge Labs","500","Yes"
"Sanonex2-539","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Silverline Pharmaceuticals","150","Yes"
"Terarova2-540","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","BlueLake Pharma","500","Yes"
"Urodex2-541","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","NovaHealth Labs","250","Yes"
"Vitalon2-542","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","MediCore Therapeutics","800","Yes"
"Wellozep2-543","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Pillara Biotech","650","No"
"Xylomox2-544","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","ClearPath Pharmaceuticals","200","No"
"Yaracillin2-545","naproxen","Pain and inflammation","indigestion; headache; dizziness","EverWell Labs","250","No"
"Zenostat2-546","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Suncrest Pharma","325","No"
"Acupril2-547","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","GreenLeaf Bio","50","No"
"Biopine2-548","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","PrimeCure Inc","10","No"
"Curasone2-549","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Horizon Health","10","No"
"Duratab2-550","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","VitalAxis Labs","120","No"
"Evozol2-551","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Orion Medica","25","No"
"Flexfine2-552","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Lumen Pharma","1000","Yes"
"Genomide2-553","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","CedarBridge Labs","2.5","Yes"
"Hematril2-554","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Silverline Pharmaceuticals","50","Yes"
"Irovex2-555","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","BlueLake Pharma","45","Yes"
"Junoril2-556","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","NovaHealth Labs","2.5","Yes"
"Karonac2-557","enalapril","High blood pressure","cough; dizziness; high potassium","MediCore Therapeutics","2.5","Yes"
"Lumamir2-558","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Pillara Biotech","10","Yes"
"Medinex2-559","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","ClearPath Pharmaceuticals","25","Yes"
"Nexarova2-560","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","EverWell Labs","50","Yes"
"Orbidex2-561","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Suncrest Pharma","875","Yes"
"Pillolon2-562","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","GreenLeaf Bio","500","Yes"
"Quinzep2-563","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","PrimeCure Inc","500","Yes"
"Rivomox2-564","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Horizon Health","100","Yes"
"Sanocillin2-565","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","VitalAxis Labs","250","Yes"
"Terastat2-566","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Orion Medica","500","Yes"
"Uropril2-567","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Lumen Pharma","150","Yes"
"Vitapine2-568","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","CedarBridge Labs","500","Yes"
"Wellosone2-569","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Silverline Pharmaceuticals","250","Yes"
"Xylotab2-570","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","BlueLake Pharma","800","Yes"
"Yarazol2-571","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","NovaHealth Labs","325","No"
"Zenofine2-572","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","MediCore Therapeutics","400","No"
"Acumide2-573","naproxen","Pain and inflammation","indigestion; headache; dizziness","Pillara Biotech","500","No"
"Biotril2-574","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","ClearPath Pharmaceuticals","325","No"
"Curavex2-575","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","EverWell Labs","50","No"
"Duraril2-576","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Suncrest Pharma","10","No"
"Evonac2-577","loratadine","Seasonal allergies","headache; dry mouth; fatigue","GreenLeaf Bio","10","No"
"Flexmir2-578","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","PrimeCure Inc","120","No"
"Genonex2-579","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Horizon Health","25","No"
"Hemarova2-580","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","VitalAxis Labs","500","Yes"
"Irodex2-581","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Orion Medica","5","Yes"
"Junolon2-582","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Lumen Pharma","100","Yes"
"Karozep2-583","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","CedarBridge Labs","15","Yes"
"Lumamox2-584","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Silverline Pharmaceuticals","20","Yes"
"Medicillin2-585","enalapril","High blood pressure","cough; dizziness; high potassium","BlueLake Pharma","2.5","Yes"
"Nexastat2-586","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","NovaHealth Labs","2.5","Yes"
"Orbipril2-587","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","MediCore Therapeutics","50","Yes"
"Pillopine2-588","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Pillara Biotech","100","Yes"
"Quinsone2-589","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","ClearPath Pharmaceuticals","250","Yes"
"Rivotab2-590","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","EverWell Labs","500","Yes"
"Sanozol2-591","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Suncrest Pharma","750","Yes"
"Terafine2-592","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","GreenLeaf Bio","100","Yes"
"Uromide2-593","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","PrimeCure Inc","250","Yes"
"Vitatril2-594","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Horizon Health","500","Yes"
"Wellovex2-595","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","VitalAxis Labs","150","Yes"
"Xyloril2-596","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Orion Medica","500","Yes"
"Yaranac2-597","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Lumen Pharma","250","Yes"
"Zenomir2-598","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","CedarBridge Labs","800","Yes"
"Acunex2-599","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Silverline Pharmaceuticals","500","No"
"Biorova2-600","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","BlueLake Pharma","600","No"
"Curadex2-601","naproxen","Pain and inflammation","indigestion; headache; dizziness","NovaHealth Labs","220","No"
"Duralon2-602","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","MediCore Therapeutics","325","No"
"Evozep2-603","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Pillara Biotech","50","No"
"Flexmox2-604","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","ClearPath Pharmaceuticals","10","No"
"Genocillin2-605","loratadine","Seasonal allergies","headache; dry mouth; fatigue","EverWell Labs","10","No"
"Hemastat2-606","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Suncrest Pharma","120","No"
"Iropril2-607","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","GreenLeaf Bio","25","No"
"Junopine2-608","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","PrimeCure Inc","850","Yes"
"Karosone2-609","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Horizon Health","10","Yes"
"Lumatab2-610","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","VitalAxis Labs","25","Yes"
"Medizol2-611","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Orion Medica","30","Yes"
"Nexafine2-612","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Lumen Pharma","5","Yes"
"Orbimide2-613","enalapril","High blood pressure","cough; dizziness; high potassium","CedarBridge Labs","2.5","Yes"
"Pillotril2-614","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Silverline Pharmaceuticals","5","Yes"
"Quinvex2-615","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","BlueLake Pharma","100","Yes"
"Rivoril2-616","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","NovaHealth Labs","25","Yes"
"Sanonac2-617","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","MediCore Therapeutics","500","Yes"
"Teramir2-618","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Pillara Biotech","500","Yes"
"Uronex2-619","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","ClearPath Pharmaceuticals","250","Yes"
"Vitarova2-620","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","EverWell Labs","100","Yes"
"Wellodex2-621","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Suncrest Pharma","250","Yes"
"Xylolon2-622","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","GreenLeaf Bio","500","Yes"
"Yarazep2-623","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","PrimeCure Inc","150","Yes"
"Zenomox2-624","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Horizon Health","500","Yes"
"Acucillin2-625","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","VitalAxis Labs","250","Yes"
"Biostat2-626","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Orion Medica","800","Yes"
"Curapril2-627","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Lumen Pharma","650","No"
"Durapine2-628","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","CedarBridge Labs","200","No"
"Evosone2-629","naproxen","Pain and inflammation","indigestion; headache; dizziness","Silverline Pharmaceuticals","250","No"
"Flextab2-630","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","BlueLake Pharma","325","No"
"Genozol2-631","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","NovaHealth Labs","50","No"
"Hemafine2-632","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","MediCore Therapeutics","10","No"
"Iromide2-633","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Pillara Biotech","10","No"
"Junotril2-634","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","ClearPath Pharmaceuticals","120","No"
"Karovex2-635","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","EverWell Labs","25","No"
"Lumaril2-636","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Suncrest Pharma","1000","Yes"
"Medinac2-637","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","GreenLeaf Bio","2.5","Yes"
"Nexamir2-638","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","PrimeCure Inc","50","Yes"
"Orbinex2-639","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Horizon Health","45","Yes"
"Pillorova2-640","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","VitalAxis Labs","40","Yes"
"Quindex2-641","enalapril","High blood pressure","cough; dizziness; high potassium","Orion Medica","2.5","Yes"
"Rivolon2-642","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Lumen Pharma","10","Yes"
"Sanozep2-643","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","CedarBridge Labs","25","Yes"
"Teramox2-644","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Silverline Pharmaceuticals","50","Yes"
"Urocillin2-645","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","BlueLake Pharma","875","Yes"
"Vitastat2-646","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","NovaHealth Labs","500","Yes"
"Wellopril2-647","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","MediCore Therapeutics","500","Yes"
"Xylopine2-648","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Pillara Biotech","100","Yes"
"Yarasone2-649","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","ClearPath Pharmaceuticals","250","Yes"
"Zenotab2-650","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","EverWell Labs","500","Yes"
"Acuzol2-651","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Suncrest Pharma","150","Yes"
"Biofine2-652","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","GreenLeaf Bio","500","Yes"
"Curamide2-653","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","PrimeCure Inc","250","Yes"
"Duratril2-654","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Horizon Health","800","Yes"
"Evovex2-655","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","VitalAxis Labs","325","No"
"Flexril2-656","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Orion Medica","400","No"
"Genonac2-657","naproxen","Pain and inflammation","indigestion; headache; dizziness","Lumen Pharma","500","No"
"Hemamir2-658","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","CedarBridge Labs","325","No"
"Ironex2-659","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Silverline Pharmaceuticals","50","No"
"Junorova2-660","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","BlueLake Pharma","10","No"
"Karodex2-661","loratadine","Seasonal allergies","headache; dry mouth; fatigue","NovaHealth Labs","10","No"
"Lumalon2-662","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","MediCore Therapeutics","120","No"
"Medizep2-663","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Pillara Biotech","25","No"
"Nexamox2-664","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","ClearPath Pharmaceuticals","500","Yes"
"Orbicillin2-665","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","EverWell Labs","5","Yes"
"Pillostat2-666","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Suncrest Pharma","100","Yes"
"Quinpril2-667","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","GreenLeaf Bio","15","Yes"
"Rivopine2-668","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","PrimeCure Inc","10","Yes"
"Sanosone2-669","enalapril","High blood pressure","cough; dizziness; high potassium","Horizon Health","2.5","Yes"
"Teratab2-670","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","VitalAxis Labs","2.5","Yes"
"Urozol2-671","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Orion Medica","50","Yes"
"Vitafine2-672","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Lumen Pharma","100","Yes"
"Wellomide2-673","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","CedarBridge Labs","250","Yes"
"Xylotril2-674","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Silverline Pharmaceuticals","500","Yes"
